23,Vladimir,Putin,Administration,13:06:57,2023-07-04,Present
23,Vladimir,Putin,Administration,13:06:58,2023-07-04,Present
23,Vladimir,Putin,Administration,13:06:59,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:06:59,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:00,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:00,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:01,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:01,2023-07-04,Present
25,Pasang,Lama,IT,13:07:02,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:02,2023-07-04,Present
25,Pasang,Lama,IT,13:07:03,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:04,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:04,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:04,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:05,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:05,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:06,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:06,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:07,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:07,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:08,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:08,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:09,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:09,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:10,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:10,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:11,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:11,2023-07-04,Present
25,Pasang,Lama,IT,13:07:12,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:12,2023-07-04,Present
25,Pasang,Lama,IT,13:07:13,2023-07-04,Present
25,Pasang,Lama,IT,13:07:13,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:14,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:14,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:15,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:15,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:16,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:16,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:17,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:18,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:18,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:19,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:20,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:21,2023-07-04,Present
25,Pasang,Lama,IT,13:07:21,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:22,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:23,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:23,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:24,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:24,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:25,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:26,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:26,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:27,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:27,2023-07-04,Present
25,Pasang,Lama,IT,13:07:28,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:29,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:29,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:30,2023-07-04,Present
25,Pasang,Lama,IT,13:07:30,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:31,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:31,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:32,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:33,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:33,2023-07-04,Present
2,Arnold,Schwarzenegger,Operation,13:07:34,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:34,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:35,2023-07-04,Present
25,Pasang,Lama,IT,13:07:35,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:36,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:37,2023-07-04,Present
23,Vladimir,Putin,Administration,13:07:37,2023-07-04,Present
